"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 20 12:57:32 EDT 2023","Fri Oct 20 12:57:33 EDT 2023","1082","","user log in with credentials","","The user is able to run code in Editor for Implementation of queue page","","The user is able to run code in Editor for Implementation of queue page",""
"passed","Fri Oct 20 12:56:59 EDT 2023","Fri Oct 20 12:56:59 EDT 2023","774","","Testing Linked List Module","","The user run the code in tryEditor with valid input for Creating a Linked List page","","The user run the code in tryEditor with valid input for Creating a Linked List page",""
"passed","Fri Oct 20 12:58:33 EDT 2023","Fri Oct 20 12:58:34 EDT 2023","877","","Exploring Graph module","","The user is able to navigate to Graph page","","The user is able to navigate to Graph page",""
"passed","Fri Oct 20 12:55:48 EDT 2023","Fri Oct 20 12:55:49 EDT 2023","640","","User Logins in with credentials","","User on login page and login with invalid inputs","","User on login page and login with invalid inputs",""
"passed","Fri Oct 20 12:57:06 EDT 2023","Fri Oct 20 12:57:08 EDT 2023","1356","","user log in with credentials","","The user is directed to ""Stack"" Page","","The user is directed to ""Stack"" Page",""
"passed","Fri Oct 20 12:57:44 EDT 2023","Fri Oct 20 12:57:45 EDT 2023","945","","Testing the tree module","","The user is able to navigate to Terminologies Page","","The user is able to navigate to Terminologies Page",""
"passed","Fri Oct 20 12:56:14 EDT 2023","Fri Oct 20 12:56:15 EDT 2023","713","","Testing Array Module","","User checks invalid code in submodule ""Basic operations in List""","","User checks invalid code in submodule ""Basic operations in List""",""
"passed","Fri Oct 20 12:58:03 EDT 2023","Fri Oct 20 12:58:04 EDT 2023","491","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:56:54 EDT 2023","Fri Oct 20 12:56:55 EDT 2023","680","","Testing Linked List Module","","User navigated to tryEditor page with Run button from Types of Linked List","","User navigated to tryEditor page with Run button from Types of Linked List",""
"passed","Fri Oct 20 12:55:30 EDT 2023","Fri Oct 20 12:55:31 EDT 2023","1113","","User launch home page of an dsalgo project","","User is on Home page and click getstarted link on  home page without sign in","","User is on Home page and click getstarted link on  home page without sign in",""
"passed","Fri Oct 20 12:57:52 EDT 2023","Fri Oct 20 12:57:53 EDT 2023","536","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:55:56 EDT 2023","Fri Oct 20 12:56:02 EDT 2023","6436","","Datastructure feature","","User in DataStructure module","","User in DataStructure module",""
"passed","Fri Oct 20 12:57:39 EDT 2023","Fri Oct 20 12:57:40 EDT 2023","891","","Testing the tree module","","The user is able to signin with registered credential","","The user is able to signin with registered credential",""
"passed","Fri Oct 20 12:58:20 EDT 2023","Fri Oct 20 12:58:21 EDT 2023","731","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:58:25 EDT 2023","Fri Oct 20 12:58:26 EDT 2023","935","","Testing the tree module","","The user is able to get the error message for invalid syntax","","The user is able to get the error message for invalid syntax",""
"passed","Fri Oct 20 12:55:46 EDT 2023","Fri Oct 20 12:55:47 EDT 2023","1616","","User Logins in with credentials","","User on login page and login with invalid inputs","","User on login page and login with invalid inputs",""
"passed","Fri Oct 20 12:56:28 EDT 2023","Fri Oct 20 12:56:32 EDT 2023","3412","","Testing Array Module","","User checks valid code in submodule ""Find numbers with even number of digits""","","User checks valid code in submodule ""Find numbers with even number of digits""",""
"passed","Fri Oct 20 12:57:03 EDT 2023","Fri Oct 20 12:57:04 EDT 2023","1003","","Testing Linked List Module","","The user run the code in tryEditor with valid input for Creating a Linked List page","","The user run the code in tryEditor with valid input for Creating a Linked List page",""
"passed","Fri Oct 20 12:57:11 EDT 2023","Fri Oct 20 12:57:12 EDT 2023","868","","user log in with credentials","","The user is able to navigate to ""Implementation"" Page","","The user is able to navigate to ""Implementation"" Page",""
"passed","Fri Oct 20 12:57:34 EDT 2023","Fri Oct 20 12:57:35 EDT 2023","831","","user log in with credentials","","The user is able to navigate to queue page and click on Implementation using arrays link","","The user is able to navigate to queue page and click on Implementation using arrays link",""
"passed","Fri Oct 20 12:57:25 EDT 2023","Fri Oct 20 12:57:26 EDT 2023","1016","","user log in with credentials","","The user is presented with error message for invalid code in Editor for Implementation of queue page","","The user is presented with error message for invalid code in Editor for Implementation of queue page",""
"passed","Fri Oct 20 12:57:51 EDT 2023","Fri Oct 20 12:57:52 EDT 2023","1048","","Testing the tree module","","The user is able to navigate to Tree Traversals Page","","The user is able to navigate to Tree Traversals Page",""
"passed","Fri Oct 20 12:56:48 EDT 2023","Fri Oct 20 12:56:49 EDT 2023","992","","Testing Linked List Module","","The user getting error message with invalid python code for Creating a Linked List page","","The user getting error message with invalid python code for Creating a Linked List page",""
"passed","Fri Oct 20 12:55:08 EDT 2023","Fri Oct 20 12:55:25 EDT 2023","17109","","portal page","","Launching portal page and getting started","","Launching portal page and getting started",""
"passed","Fri Oct 20 12:57:14 EDT 2023","Fri Oct 20 12:57:15 EDT 2023","799","","user log in with credentials","","The user is able to get the error message for invalid syntax","","The user is able to get the error message for invalid syntax",""
"passed","Fri Oct 20 12:56:19 EDT 2023","Fri Oct 20 12:56:24 EDT 2023","4828","","Testing Array Module","","User checks valid code in submodule ""Search the array""","","User checks valid code in submodule ""Search the array""",""
"passed","Fri Oct 20 12:55:54 EDT 2023","Fri Oct 20 12:55:55 EDT 2023","664","","User Logins in with credentials","","User on login page and login with invalid and valid inputs from Excel","","User on login page and login with invalid and valid inputs from Excel",""
"passed","Fri Oct 20 12:57:13 EDT 2023","Fri Oct 20 12:57:14 EDT 2023","838","","user log in with credentials","","The user is able to run code in tryEditor","","The user is able to run code in tryEditor",""
"passed","Fri Oct 20 12:55:33 EDT 2023","Fri Oct 20 12:55:34 EDT 2023","774","","User launch home page of an dsalgo project","","User is on Home page and click on Register","","User is on Home page and click on Register",""
"passed","Fri Oct 20 12:57:57 EDT 2023","Fri Oct 20 12:57:59 EDT 2023","1354","","Testing the tree module","","The user is able to get the error message for invalid syantax","","The user is able to get the error message for invalid syantax",""
"failed","Fri Oct 20 12:55:41 EDT 2023","Fri Oct 20 12:55:43 EDT 2023","1505","","user registers with username and password","","The user is succesfully able to register","","The user is succesfully able to register",""
"passed","Fri Oct 20 12:56:57 EDT 2023","Fri Oct 20 12:56:58 EDT 2023","959","","Testing Linked List Module","","user navigated to ""Insertion"" page","","user navigated to ""Insertion"" page",""
"passed","Fri Oct 20 12:58:26 EDT 2023","Fri Oct 20 12:58:27 EDT 2023","1185","","Testing the tree module","","The user validating Practice Questions page","","The user validating Practice Questions page",""
"passed","Fri Oct 20 12:58:00 EDT 2023","Fri Oct 20 12:58:00 EDT 2023","606","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:57:17 EDT 2023","Fri Oct 20 12:57:19 EDT 2023","1200","","user log in with credentials","","The user is able to get the error message for invalid syntax","","The user is able to get the error message for invalid syntax",""
"passed","Fri Oct 20 12:58:27 EDT 2023","Fri Oct 20 12:58:29 EDT 2023","1753","","Exploring Graph module","","User navigated to ""Graph"" page","","User navigated to ""Graph"" page",""
"passed","Fri Oct 20 12:55:53 EDT 2023","Fri Oct 20 12:55:54 EDT 2023","815","","User Logins in with credentials","","User on login page and login with invalid and valid inputs from Excel","","User on login page and login with invalid and valid inputs from Excel",""
"passed","Fri Oct 20 12:57:29 EDT 2023","Fri Oct 20 12:57:30 EDT 2023","867","","user log in with credentials","","The user is presented with error message for invalid code in Editor for Implementation of queue page","","The user is presented with error message for invalid code in Editor for Implementation of queue page",""
"passed","Fri Oct 20 12:58:11 EDT 2023","Fri Oct 20 12:58:12 EDT 2023","965","","Testing the tree module","","The user is able to run code in tryEditor","","The user is able to run code in tryEditor",""
"passed","Fri Oct 20 12:57:26 EDT 2023","Fri Oct 20 12:57:27 EDT 2023","1230","","user log in with credentials","","The user is able to navigate to queue page and click on Implementation using collections deque link","","The user is able to navigate to queue page and click on Implementation using collections deque link",""
"passed","Fri Oct 20 12:58:22 EDT 2023","Fri Oct 20 12:58:23 EDT 2023","840","","Testing the tree module","","The user is able to get the error message for invalid syntax","","The user is able to get the error message for invalid syntax",""
"passed","Fri Oct 20 12:58:30 EDT 2023","Fri Oct 20 12:58:31 EDT 2023","768","","Exploring Graph module","","The user should be directed to editor page with run button to test python code","","The user should be directed to editor page with run button to test python code",""
"passed","Fri Oct 20 12:57:23 EDT 2023","Fri Oct 20 12:57:24 EDT 2023","1107","","user log in with credentials","","The user should be directed to editor page with run button to test python code","","The user should be directed to editor page with run button to test python code",""
"passed","Fri Oct 20 12:56:50 EDT 2023","Fri Oct 20 12:56:52 EDT 2023","1315","","Testing Linked List Module","","User navigated to tryEditor page with Run button from Types of Linked List","","User navigated to tryEditor page with Run button from Types of Linked List",""
"passed","Fri Oct 20 12:57:24 EDT 2023","Fri Oct 20 12:57:25 EDT 2023","856","","user log in with credentials","","The user is able to run code in Editor for Implementation of queue page","","The user is able to run code in Editor for Implementation of queue page",""
"passed","Fri Oct 20 12:58:02 EDT 2023","Fri Oct 20 12:58:03 EDT 2023","998","","Testing the tree module","","The user is able to navigate to ""Types of Binary trees"" Page","","The user is able to navigate to ""Types of Binary trees"" Page",""
"passed","Fri Oct 20 12:55:49 EDT 2023","Fri Oct 20 12:55:53 EDT 2023","4152","","User Logins in with credentials","","User on login page and login with invalid and valid inputs from Excel","","User on login page and login with invalid and valid inputs from Excel",""
"passed","Fri Oct 20 12:55:30 EDT 2023","Fri Oct 20 12:55:30 EDT 2023","722","","User launch home page of an dsalgo project","","User is on Home page and click getstarted link on  home page without sign in","","User is on Home page and click getstarted link on  home page without sign in",""
"passed","Fri Oct 20 12:58:01 EDT 2023","Fri Oct 20 12:58:02 EDT 2023","956","","Testing the tree module","","The user is able to get the error message for invalid syntax","","The user is able to get the error message for invalid syntax",""
"passed","Fri Oct 20 12:58:37 EDT 2023","Fri Oct 20 12:58:38 EDT 2023","1561","","Exploring Graph module","","The user validating ""Practice Questions"" page","","The user validating ""Practice Questions"" page",""
"passed","Fri Oct 20 12:55:27 EDT 2023","Fri Oct 20 12:55:28 EDT 2023","509","","User launch home page of an dsalgo project","","User is on Home page and click getstarted link on  home page without sign in","","User is on Home page and click getstarted link on  home page without sign in",""
"passed","Fri Oct 20 12:57:27 EDT 2023","Fri Oct 20 12:57:28 EDT 2023","1108","","user log in with credentials","","The user should be directed to editor page with run button to test python code","","The user should be directed to editor page with run button to test python code",""
"passed","Fri Oct 20 12:56:44 EDT 2023","Fri Oct 20 12:56:45 EDT 2023","814","","Testing Linked List Module","","The user run the code in tryEditor with valid input for Creating a Linked List page","","The user run the code in tryEditor with valid input for Creating a Linked List page",""
"passed","Fri Oct 20 12:58:07 EDT 2023","Fri Oct 20 12:58:07 EDT 2023","656","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:57:53 EDT 2023","Fri Oct 20 12:57:54 EDT 2023","911","","Testing the tree module","","The user is able to run code in tryEditor","","The user is able to run code in tryEditor",""
"passed","Fri Oct 20 12:58:05 EDT 2023","Fri Oct 20 12:58:06 EDT 2023","886","","Testing the tree module","","The user is able to get the error message for invalid syntax","","The user is able to get the error message for invalid syntax",""
"passed","Fri Oct 20 12:56:36 EDT 2023","Fri Oct 20 12:56:37 EDT 2023","745","","Testing Linked List Module","","The user is able to signin with registered credential","","The user is able to signin with registered credential",""
"passed","Fri Oct 20 12:58:24 EDT 2023","Fri Oct 20 12:58:25 EDT 2023","931","","Testing the tree module","","The user is able to run code in tryEditor","","The user is able to run code in tryEditor",""
"passed","Fri Oct 20 12:55:44 EDT 2023","Fri Oct 20 12:55:46 EDT 2023","1929","","User Logins in with credentials","","The user is able to signin with registered credential","","The user is able to signin with registered credential",""
"passed","Fri Oct 20 12:56:44 EDT 2023","Fri Oct 20 12:56:44 EDT 2023","457","","Testing Linked List Module","","User navigated to tryEditor page with Run button from Creating a Linked List page","","User navigated to tryEditor page with Run button from Creating a Linked List page",""
"passed","Fri Oct 20 12:58:32 EDT 2023","Fri Oct 20 12:58:33 EDT 2023","1041","","Exploring Graph module","","The user getting error message with invalid python code for Graph page","","The user getting error message with invalid python code for Graph page",""
"passed","Fri Oct 20 12:55:25 EDT 2023","Fri Oct 20 12:55:27 EDT 2023","1426","","User launch home page of an dsalgo project","","User is on Home page and click getstarted link on  home page without sign in","","User is on Home page and click getstarted link on  home page without sign in",""
"passed","Fri Oct 20 12:58:13 EDT 2023","Fri Oct 20 12:58:14 EDT 2023","720","","Testing the tree module","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:56:53 EDT 2023","Fri Oct 20 12:56:54 EDT 2023","1040","","Testing Linked List Module","","The user getting error message with invalid python code for Creating a Linked List page","","The user getting error message with invalid python code for Creating a Linked List page",""
"passed","Fri Oct 20 12:55:55 EDT 2023","Fri Oct 20 12:55:56 EDT 2023","503","","User Logins in with credentials","","Verifying signout link","","Verifying signout link",""
"passed","Fri Oct 20 12:58:07 EDT 2023","Fri Oct 20 12:58:08 EDT 2023","736","","Testing the tree module","","The user is able to run code in tryEditor","","The user is able to run code in tryEditor",""
"passed","Fri Oct 20 12:57:56 EDT 2023","Fri Oct 20 12:57:56 EDT 2023","635","","Testing the tree module","","The user is able to navigate to a Page having an tryEditor","","The user is able to navigate to a Page having an tryEditor",""
"passed","Fri Oct 20 12:56:49 EDT 2023","Fri Oct 20 12:56:50 EDT 2023","1154","","Testing Linked List Module","","user navigated to ""Implementation linked list in python"" page","","user navigated to ""Implementation linked list in python"" page",""
"passed","Fri Oct 20 12:57:31 EDT 2023","Fri Oct 20 12:57:32 EDT 2023","784","","user log in with credentials","","The user should be directed to editor page with run button to test python code","","The user should be directed to editor page with run button to test python code",""
"passed","Fri Oct 20 12:56:24 EDT 2023","Fri Oct 20 12:56:28 EDT 2023","3499","","Testing Array Module","","User checks valid code in submodule ""Max Consecutive Ones""","","User checks valid code in submodule ""Max Consecutive Ones""",""
"passed","Fri Oct 20 12:56:28 EDT 2023","Fri Oct 20 12:56:28 EDT 2023","637","","Testing Array Module","","User checks invalid code in submodule ""Max Consecutive Ones""","","User checks invalid code in submodule ""Max Consecutive Ones""",""
"passed","Fri Oct 20 12:58:06 EDT 2023","Fri Oct 20 12:58:06 EDT 2023","900","","Testing the tree module","","The user is able to navigate to Implementation in Python Page","","The user is able to navigate to Implementation in Python Page",""
"passed","Fri Oct 20 12:57:16 EDT 2023","Fri Oct 20 12:57:17 EDT 2023","878","","user log in with credentials","","The user is able to run code in tryEditor","","The user is able to run code in tryEditor",""
"passed","Fri Oct 20 12:57:09 EDT 2023","Fri Oct 20 12:57:09 EDT 2023","639","","user log in with credentials","","The user is able to navigate to a page having an tryEditor","","The user is able to navigate to a page having an tryEditor",""
"passed","Fri Oct 20 12:58:16 EDT 2023","Fri Oct 20 12:58:17 EDT 2023","784","","Testing the tree module","","The user is able to navigate to Applications of Binary Trees Page","","The user is able to navigate to Applications of Binary Trees Page",""
"passed","Fri Oct 20 12:57:08 EDT 2023","Fri Oct 20 12:57:09 EDT 2023","909","","user log in with credentials","","The user is able to navigate ""to operations in Stack page""","","The user is able to navigate ""to operations in Stack page""",""
"passed","Fri Oct 20 12:56:52 EDT 2023","Fri Oct 20 12:56:52 EDT 2023","938","","Testing Linked List Module","","The user run the code in tryEditor with valid input for Creating a Linked List page","","The user run the code in tryEditor with valid input for Creating a Linked List page",""
"passed","Fri Oct 20 12:58:34 EDT 2023","Fri Oct 20 12:58:35 EDT 2023","826","","Exploring Graph module","","User navigated to tryEditor page with Run button from Graph page","","User navigated to tryEditor page with Run button from Graph page",""
"passed","Fri Oct 20 12:56:02 EDT 2023","Fri Oct 20 12:56:04 EDT 2023","1523","","Testing Array Module","","user is on the array page","","user is on the array page",""
"passed","Fri Oct 20 12:57:37 EDT 2023","Fri Oct 20 12:57:38 EDT 2023","839","","user log in with credentials","","The user is presented with error message for invalid code in Editor for Implementation of queue page","","The user is presented with error message for invalid code in Editor for Implementation of queue page",""
"passed","Fri Oct 20 12:56:24 EDT 2023","Fri Oct 20 12:56:24 EDT 2023","548","","Testing Array Module","","User checks invalid code in submodule ""Search the array""","","User checks invalid code in submodule ""Search the array""",""
"passed","Fri Oct 20 12:56:59 EDT 2023","Fri Oct 20 12:57:01 EDT 2023","1092","","Testing Linked List Module","","The user getting error message with invalid python code for Creating a Linked List page","","The user getting error message with invalid python code for Creating a Linked List page",""
"passed","Fri Oct 20 12:58:31 EDT 2023","Fri Oct 20 12:58:32 EDT 2023","825","","Exploring Graph module","","The user run the code in tryEditor with valid input for Graph page","","The user run the code in tryEditor with valid input for Graph page",""
"passed","Fri Oct 20 12:57:02 EDT 2023","Fri Oct 20 12:57:03 EDT 2023","944","","Testing Linked List Module","","User navigated to tryEditor page with Run button from Types of Linked List","","User navigated to tryEditor page with Run button from Types of Linked List",""
"passed","Fri Oct 20 12:57:10 EDT 2023","Fri Oct 20 12:57:11 EDT 2023","1060","","user log in with credentials","","The user is able to get the error message for invalid syntax","","The user is able to get the error message for invalid syntax",""
